ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Crime_Year,Month,Day,Hour,Day_of_Week,Day_Name,Month_Name,Is_Weekend,Is_Late_Night,Is_Rush_Hour,Season,Time_of_Day,Crime_Severity,District_Crime_Count,Ward_Crime_Count,Primary_Type_Encoded,Time_of_Day_Encoded,Season_Encoded,Day_Name_Encoded,Latitude_Scaled,Longitude_Scaled,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Final_Geo_Cluster
14041253,JJ504258,2025-11-27 15:50:00,032XX W 66TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,831,8,14,66,08B,1155929.0,1860351.0,2025,12/05/2025 03:53:08 PM,41.772590799,-87.703963046,"(41.772590799, -87.703963046)",2025,11,27,15,3,Thursday,November,0,0,0,Fall,Afternoon,3,32658,7672,2,0,0,4,-0.8558990008859132,-0.606471893190686,1,-1,-1,1
13900401,JJ333828,2025-07-14 14:35:00,002XX S DEARBORN ST,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",FEDERAL BUILDING,1,0,113,1,34,32,08A,1175968.0,1899257.0,2025,11/02/2025 03:41:09 PM,41.878926264,-87.629337063,"(41.878926264, -87.629337063)",2025,7,14,14,0,Monday,July,0,0,0,Summer,Afternoon,4,28831,13927,1,0,2,1,0.373163666133285,0.6582054394488825,0,-1,-1,0
13567708,JH392475,2024-08-18 03:50:00,073XX S ST LAWRENCE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,323,3,6,69,15,1181504.0,1856553.0,2024,05/17/2025 03:40:52 PM,41.761616869,-87.610329589,"(41.761616869, -87.610329589)",2024,8,18,3,6,Sunday,August,1,1,0,Summer,Night,4,26103,18645,30,3,2,3,-0.9827395396796288,0.9803227577363188,1,-1,-1,1
14097292,JK133186,2026-01-30 22:35:00,054XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,0,0,923,9,14,63,06,1155977.0,1868216.0,2026,02/07/2026 03:45:48 PM,41.794172544,-87.70357593,"(41.794172544, -87.70357593)",2026,1,30,22,4,Friday,January,0,1,0,Winter,Night,2,22009,7672,29,3,3,0,-0.6064496091084224,-0.5999114860694743,0,-1,-1,0
13773792,JJ179533,2025-03-13 08:30:00,042XX N MILWAUKEE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,GAS STATION,0,0,1624,16,45,15,15,1142432.0,1927640.0,2025,11/02/2025 03:41:09 PM,41.957501068,-87.751769113,"(41.957501068, -87.751769113)",2025,3,13,8,3,Thursday,March,0,0,1,Spring,Morning,4,17193,5339,30,2,1,4,1.2813588591928016,-1.416635416229844,0,0,-1,0
13723777,JJ119086,2025-01-18 03:55:00,010XX W LAWRENCE AVE,0610,BURGLARY,FORCIBLE ENTRY,DRUG STORE,0,0,1914,19,46,3,05,1168673.0,1932055.0,2025,11/02/2025 03:41:09 PM,41.969086773,-87.655170335,"(41.969086773, -87.655170335)",2025,1,18,3,5,Saturday,January,1,1,0,Winter,Night,4,26728,8648,3,3,3,2,1.4152705083928083,0.2204121640650204,0,-1,-1,0
13557718,JH380628,2024-08-08 19:00:00,0000X E 51ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),1,0,225,2,3,40,15,1177734.0,1871231.0,2024,05/17/2025 03:40:52 PM,41.801980921,-87.623702939,"(41.801980921, -87.623702939)",2024,8,8,19,3,Thursday,August,0,0,1,Summer,Evening,4,26221,13140,30,1,2,4,-0.5161976441528399,0.7536862441985622,1,0,-1,1
13723226,JJ118464,2025-01-17 13:30:00,002XX E CHESTNUT ST,0560,ASSAULT,SIMPLE,APARTMENT,0,0,1833,18,2,8,08A,1178059.0,1906381.0,2025,11/02/2025 03:41:09 PM,41.898427551,-87.621442383,"(41.898427551, -87.621442383)",2025,1,17,13,4,Friday,January,0,0,0,Winter,Afternoon,4,26914,8059,1,0,3,0,0.5985663933468545,0.7919956080076408,0,-1,-1,0
14040118,JJ502868,2025-10-01 09:00:00,036XX S RHODES AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,0,0,212,2,4,35,26,1180179.0,1881011.0,2025,11/28/2025 03:41:20 PM,41.828762287,-87.614436164,"(41.828762287, -87.614436164)",2025,10,1,9,2,Wednesday,October,0,0,1,Fall,Morning,1,26221,16349,22,2,0,6,-0.206649205893046,0.9107291375453858,1,0,-1,1
13682021,JH530107,2024-12-01 14:00:00,028XX W CULLERTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,0,0,1023,10,25,30,11,1157684.0,1890271.0,2024,11/02/2025 03:41:09 PM,41.854659691,-87.696717126,"(41.854659691, -87.696717126)",2024,12,1,14,6,Sunday,December,1,0,0,Winter,Afternoon,2,20080,7929,8,0,3,3,0.0926820889774983,-0.4836761803607132,0,-1,-1,0
13842021,JJ262811,2025-05-16 16:00:00,005XX N LOCKWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,1523,15,37,25,08B,1140931.0,1903234.0,2025,11/02/2025 03:41:09 PM,41.890556239,-87.757889464,"(41.890556239, -87.757889464)",2025,5,16,16,4,Friday,May,0,0,0,Spring,Afternoon,3,16669,13455,2,0,1,0,0.5075870035481753,-1.520356249997706,0,-1,-1,0
13720262,JJ114738,2025-01-14 12:00:00,012XX W TAYLOR ST,0560,ASSAULT,SIMPLE,MEDICAL / DENTAL OFFICE,0,0,1231,12,28,28,08A,1168010.0,1895717.0,2025,11/02/2025 03:41:09 PM,41.869387636,-87.658659333,"(41.869387636, -87.658659333)",2025,1,14,12,1,Tuesday,January,0,0,0,Winter,Afternoon,4,31406,22135,1,0,3,5,0.2629128521702707,0.1612845451466115,0,-1,-1,0
13737284,JJ135108,2025-02-01 16:55:00,025XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,APPLIANCE STORE,1,0,1432,14,32,22,06,1161467.0,1917112.0,2025,05/17/2025 03:40:52 PM,41.928235818,-87.682084152,"(41.928235818, -87.682084152)",2025,2,1,16,5,Saturday,February,1,0,0,Winter,Afternoon,2,17945,7452,29,0,3,2,0.9431008169113728,-0.2356929742045441,0,-1,-1,0
13525353,JH341981,2024-07-11 00:50:00,061XX N LINCOLN AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1711,17,50,13,07,1152695.0,1941110.0,2024,05/17/2025 03:40:52 PM,41.994266223,-87.713680528,"(41.994266223, -87.713680528)",2024,7,11,0,3,Thursday,July,0,1,0,Summer,Night,3,15382,5263,16,3,2,4,1.7063034386674951,-0.7711528624950547,0,-1,-1,0
13861606,JJ286528,2025-06-08 16:37:00,049XX W ADAMS ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,0,0,1533,15,28,25,04B,1143599.0,1898880.0,2025,11/02/2025 03:41:09 PM,41.878558822,-87.748200191,"(41.878558822, -87.748200191)",2025,6,8,16,6,Sunday,June,1,0,0,Summer,Afternoon,3,16669,22135,2,0,2,3,0.3689166423910875,-1.3561533351380912,0,-1,-1,0
13792732,JJ202202,2025-04-01 11:49:00,071XX S CRANDON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,0,1,333,3,5,43,06,1192783.0,1858130.0,2025,11/02/2025 03:41:09 PM,41.765676702,-87.568940263,"(41.765676702, -87.568940263)",2025,4,1,11,1,Tuesday,April,0,0,0,Spring,Morning,2,26103,12125,29,2,1,5,-0.9358145633828509,1.6817425622222135,1,-1,-1,1
13772476,JJ176809,2025-03-11 04:35:00,054XX S LOOMIS BLVD,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,0,0,934,9,20,61,08B,1167925.0,1868563.0,2025,11/02/2025 03:41:09 PM,41.794876216,-87.659753068,"(41.794876216, -87.659753068)",2025,3,11,4,1,Tuesday,March,0,0,0,Spring,Night,3,22009,16470,2,3,1,5,-0.5983163208867835,0.1427491529573839,1,-1,-1,1
14001668,JJ456308,2025-10-18 12:50:00,015XX W 82ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,614,6,17,71,14,1167668.0,1850358.0,2025,11/02/2025 03:41:09 PM,41.744924864,-87.661217172,"(41.744924864, -87.661217172)",2025,10,18,12,5,Saturday,October,1,0,0,Fall,Afternoon,3,28615,15759,5,0,0,2,-1.1756715984541997,0.1179371629911287,1,0,-1,1
14058220,JJ525597,2025-12-10 11:45:00,037XX N RICHMOND ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,0,1,1733,17,35,16,26,1156053.0,1924706.0,2025,12/19/2025 03:41:47 PM,41.949185407,-87.70177312,"(41.949185407, -87.70177312)",2025,12,10,11,2,Wednesday,December,0,0,0,Winter,Morning,1,15382,6804,22,2,3,6,1.1852435275235005,-0.5693594872829794,0,-1,-1,0
